Class,Field,Type,Description Rating,Has Example?
ExcelScript.ChartBinOptions,setWidth(width),Method,Fine,false
ExcelScript.ChartBinType,N/A,Class,Fine,false
ExcelScript.ChartBinType,auto,EnumField,Missing,false
ExcelScript.ChartBinType,binCount,EnumField,Missing,false
ExcelScript.ChartBinType,binWidth,EnumField,Missing,false
ExcelScript.ChartBinType,category,EnumField,Missing,false
ExcelScript.ChartBorder,N/A,Class,Poor,false
ExcelScript.ChartBorder,clear(),Method,Poor,false
ExcelScript.ChartBorder,getColor(),Method,Fine,false
ExcelScript.ChartBorder,getLineStyle(),Method,Good,false
ExcelScript.ChartBorder,getWeight(),Method,Poor,false
ExcelScript.ChartBorder,setColor(color),Method,Fine,false
ExcelScript.ChartBorder,setLineStyle(lineStyle),Method,Good,false
ExcelScript.ChartBorder,setWeight(weight),Method,Poor,false
ExcelScript.ChartBoxQuartileCalculation,N/A,Class,Good,false
ExcelScript.ChartBoxQuartileCalculation,exclusive,EnumField,Missing,false
ExcelScript.ChartBoxQuartileCalculation,inclusive,EnumField,Missing,false
ExcelScript.ChartBoxwhiskerOptions,N/A,Class,Poor,false
ExcelScript.ChartBoxwhiskerOptions,getQuartileCalculation(),Method,Fine,false
ExcelScript.ChartBoxwhiskerOptions,getShowInnerPoints(),Method,Fine,false
ExcelScript.ChartBoxwhiskerOptions,getShowMeanLine(),Method,Fine,false
ExcelScript.ChartBoxwhiskerOptions,getShowMeanMarker(),Method,Fine,false
ExcelScript.ChartBoxwhiskerOptions,getShowOutlierPoints(),Method,Fine,false
ExcelScript.ChartBoxwhiskerOptions,setQuartileCalculation(quartileCalculation),Method,Fine,false
ExcelScript.ChartBoxwhiskerOptions,setShowInnerPoints(showInnerPoints),Method,Fine,false
ExcelScript.ChartBoxwhiskerOptions,setShowMeanLine(showMeanLine),Method,Fine,false
ExcelScript.ChartBoxwhiskerOptions,setShowMeanMarker(showMeanMarker),Method,Fine,false
ExcelScript.ChartBoxwhiskerOptions,setShowOutlierPoints(showOutlierPoints),Method,Fine,false
ExcelScript.ChartColorScheme,N/A,Class,Missing,false
ExcelScript.ChartColorScheme,colorfulPalette1,EnumField,Missing,false
ExcelScript.ChartColorScheme,colorfulPalette2,EnumField,Missing,false
ExcelScript.ChartColorScheme,colorfulPalette3,EnumField,Missing,false
ExcelScript.ChartColorScheme,colorfulPalette4,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette1,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette10,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette11,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette12,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette13,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette2,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette3,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette4,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette5,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette6,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette7,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette8,EnumField,Missing,false
ExcelScript.ChartColorScheme,monochromaticPalette9,EnumField,Missing,false
ExcelScript.ChartDataLabel,N/A,Class,Poor,false
ExcelScript.ChartDataLabel,getAutoText(),Method,Fine,false
ExcelScript.ChartDataLabel,getFormat(),Method,Poor,false
ExcelScript.ChartDataLabel,getFormula(),Method,Fine,false
ExcelScript.ChartDataLabel,getHeight(),Method,Good,false
ExcelScript.ChartDataLabel,getHorizontalAlignment(),Method,Good,false
ExcelScript.ChartDataLabel,getLeft(),Method,Good,false
ExcelScript.ChartDataLabel,getLinkNumberFormat(),Method,Fine,false
ExcelScript.ChartDataLabel,getNumberFormat(),Method,Fine,false
ExcelScript.ChartDataLabel,getPosition(),Method,Good,false
ExcelScript.ChartDataLabel,getSeparator(),Method,Fine,false
ExcelScript.ChartDataLabel,getShowBubbleSize(),Method,Poor,false
