Package,Class,Field,Type,Description Rating,Has Example?
ExcelScript,ExcelScript.Chart,"getDataLabels()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"getDataTable()",Method,Excellent,false
ExcelScript,ExcelScript.Chart,"getDisplayBlanksAs()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"getFormat()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"getHeight()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"getId()",Method,Poor,false
ExcelScript,ExcelScript.Chart,"getImage(width, height, fittingMode)",Method,Good,true
ExcelScript,ExcelScript.Chart,"getLeft()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"getLegend()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"getName()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"getPivotOptions()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"getPlotArea()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"getPlotBy()",Method,Fine,true
ExcelScript,ExcelScript.Chart,"getPlotVisibleOnly()",Method,Good,false
ExcelScript,ExcelScript.Chart,"getSeries()",Method,Fine,true
ExcelScript,ExcelScript.Chart,"getSeriesNameLevel()",Method,Good,false
ExcelScript,ExcelScript.Chart,"getShowAllFieldButtons()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"getShowDataLabelsOverMaximum()",Method,Excellent,false
ExcelScript,ExcelScript.Chart,"getStyle()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"getTitle()",Method,Good,true
ExcelScript,ExcelScript.Chart,"getTop()",Method,Good,false
ExcelScript,ExcelScript.Chart,"getWidth()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"getWorksheet()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"setCategoryLabelLevel(categoryLabelLevel)",Method,Good,false
ExcelScript,ExcelScript.Chart,"setChartType(chartType)",Method,Fine,false
ExcelScript,ExcelScript.Chart,"setData(sourceData, seriesBy)",Method,Good,false
ExcelScript,ExcelScript.Chart,"setDisplayBlanksAs(displayBlanksAs)",Method,Fine,false
ExcelScript,ExcelScript.Chart,"setHeight(height)",Method,Fine,true
ExcelScript,ExcelScript.Chart,"setLeft(left)",Method,Fine,true
ExcelScript,ExcelScript.Chart,"setName(name)",Method,Fine,true
ExcelScript,ExcelScript.Chart,"setPlotBy(plotBy)",Method,Fine,true
ExcelScript,ExcelScript.Chart,"setPlotVisibleOnly(plotVisibleOnly)",Method,Good,false
ExcelScript,ExcelScript.Chart,"setPosition(startCell, endCell)",Method,Fine,true
ExcelScript,ExcelScript.Chart,"setSeriesNameLevel(seriesNameLevel)",Method,Good,false
ExcelScript,ExcelScript.Chart,"setShowAllFieldButtons(showAllFieldButtons)",Method,Fine,false
ExcelScript,ExcelScript.Chart,"setShowDataLabelsOverMaximum(showDataLabelsOverMaximum)",Method,Excellent,false
ExcelScript,ExcelScript.Chart,"setStyle(style)",Method,Fine,false
ExcelScript,ExcelScript.Chart,"setTop(top)",Method,Good,true
ExcelScript,ExcelScript.Chart,"setWidth(width)",Method,Fine,true
ExcelScript,ExcelScript.ChartAreaFormat,N/A,Interface,Fine,false
ExcelScript,ExcelScript.ChartAreaFormat,"getBorder()",Method,Fine,false
ExcelScript,ExcelScript.ChartAreaFormat,"getColorScheme()",Method,Fine,false
ExcelScript,ExcelScript.ChartAreaFormat,"getFill()",Method,Fine,false
ExcelScript,ExcelScript.ChartAreaFormat,"getFont()",Method,Fine,false
ExcelScript,ExcelScript.ChartAreaFormat,"getRoundedCorners()",Method,Good,false
ExcelScript,ExcelScript.ChartAreaFormat,"setColorScheme(colorScheme)",Method,Fine,false
ExcelScript,ExcelScript.ChartAreaFormat,"setRoundedCorners(roundedCorners)",Method,Good,false
ExcelScript,ExcelScript.ChartAxes,N/A,Interface,Poor,true
ExcelScript,ExcelScript.ChartAxes,"getCategoryAxis()",Method,Fine,true
ExcelScript,ExcelScript.ChartAxes,"getChartAxis(type, group)",Method,Good,false
ExcelScript,ExcelScript.ChartAxes,"getSeriesAxis()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxes,"getValueAxis()",Method,Fine,true
ExcelScript,ExcelScript.ChartAxis,N/A,Interface,Fine,true
ExcelScript,ExcelScript.ChartAxis,"getAlignment()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getAxisGroup()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getBaseTimeUnit()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getCategoryType()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getCustomDisplayUnit()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getDisplayUnit()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getFormat()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getHeight()",Method,Great,false
ExcelScript,ExcelScript.ChartAxis,"getIsBetweenCategories()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getLeft()",Method,Excellent,false
ExcelScript,ExcelScript.ChartAxis,"getLinkNumberFormat()",Method,Great,false
ExcelScript,ExcelScript.ChartAxis,"getLogBase()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getMajorGridlines()",Method,Good,true
ExcelScript,ExcelScript.ChartAxis,"getMajorTickMark()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getMajorTimeUnitScale()",Method,Great,false
ExcelScript,ExcelScript.ChartAxis,"getMajorUnit()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getMaximum()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getMinimum()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getMinorGridlines()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getMinorTickMark()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getMinorTimeUnitScale()",Method,Great,false
ExcelScript,ExcelScript.ChartAxis,"getMinorUnit()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getMultiLevel()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getNumberFormat()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getOffset()",Method,Great,false
ExcelScript,ExcelScript.ChartAxis,"getPosition()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getPositionAt()",Method,Great,false
ExcelScript,ExcelScript.ChartAxis,"getReversePlotOrder()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getScaleType()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getShowDisplayUnitLabel()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getTextOrientation()",Method,Great,false
ExcelScript,ExcelScript.ChartAxis,"getTickLabelPosition()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getTickLabelSpacing()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getTickMarkSpacing()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getTitle()",Method,Poor,false
ExcelScript,ExcelScript.ChartAxis,"getTop()",Method,Excellent,false
ExcelScript,ExcelScript.ChartAxis,"getType()",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"getVisible()",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"getWidth()",Method,Great,false
ExcelScript,ExcelScript.ChartAxis,"setAlignment(alignment)",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"setBaseTimeUnit(baseTimeUnit)",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"setCategoryNames(sourceData)",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"setCategoryType(categoryType)",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"setCustomDisplayUnit(value)",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"setDisplayUnit(displayUnit)",Method,Fine,true
ExcelScript,ExcelScript.ChartAxis,"setIsBetweenCategories(isBetweenCategories)",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"setLinkNumberFormat(linkNumberFormat)",Method,Great,false
ExcelScript,ExcelScript.ChartAxis,"setLogBase(logBase)",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"setMajorTickMark(majorTickMark)",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"setMajorTimeUnitScale(majorTimeUnitScale)",Method,Great,false
ExcelScript,ExcelScript.ChartAxis,"setMajorUnit(majorUnit)",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"setMaximum(maximum)",Method,Fine,true
ExcelScript,ExcelScript.ChartAxis,"setMinimum(minimum)",Method,Fine,true
ExcelScript,ExcelScript.ChartAxis,"setMinorTickMark(minorTickMark)",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"setMinorTimeUnitScale(minorTimeUnitScale)",Method,Great,false
ExcelScript,ExcelScript.ChartAxis,"setMinorUnit(minorUnit)",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"setMultiLevel(multiLevel)",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"setNumberFormat(numberFormat)",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"setOffset(offset)",Method,Great,false
ExcelScript,ExcelScript.ChartAxis,"setPosition(position)",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"setPositionAt(value)",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"setReversePlotOrder(reversePlotOrder)",Method,Good,true
ExcelScript,ExcelScript.ChartAxis,"setScaleType(scaleType)",Method,Fine,false
ExcelScript,ExcelScript.ChartAxis,"setShowDisplayUnitLabel(showDisplayUnitLabel)",Method,Good,false
ExcelScript,ExcelScript.ChartAxis,"setTextOrientation(textOrientation)",Method,Great,false
